,,,,wins,,,,,,,,,,,,,Rating,,
"Sun
11/21",SF,vs,LA,W,23,37,62.2,214,5.8,2,5.4,2,5.4,,,,73.5,214,2
"Sun
11/14",SF,@,DET,W,20,32,62.5,196,6.1,1,3.1,2,6.3,,,,64.1,194,1
"Sun
10/31",SF,vs,BAL,L,20,28,71.4,289,10.3,2,7.1,0,0,,,,128.4,302,2
"Sun
10/24",SF,vs,MIN,L,19,29,65.5,264,9.1,3,10.3,1,3.4,,,,114.7,267,3
"Sun
10/17",SF,@,LA,W,18,26,69.2,215,8.3,3,11.5,2,7.7,,,,100.6,215,3
"Sun
10/10",SF,@,GB,L,21,38,55.3,198,5.2,1,2.6,1,2.6,,,,67.7,204,1
"Sun
10/3",SF,@,BAL,L,18,36,50,268,7.4,2,5.6,3,8.3,,,,58.6,268,2
"Sun
9/26",SF,vs,PIT,W,16,20,80,236,11.8,1,5,0,0,,,,132.5,259,2
"Sun
9/19",SF,vs,CHI,W,14,20,70,269,13.5,4,20,0,0,,,,152.1,273,4
"Sun
12/13",SF,@,DET,L,23,43,53.5,228,5.3,1,2.3,0,0,,,,76.5,232,1
"Sun
12/6",SF,vs,LA,W,18,30,60,204,6.8,2,6.7,0,0,,,,102.6,223,2
"Sun
11/29",SF,vs,BAL,L,14,34,41.2,135,4,0,0,5,14.7,,,,13.4,167,0
"Sun
11/22",SF,@,CHI,L,19,27,70.4,207,7.7,2,7.4,0,0,,,,117.4,199,2
"Sun
11/8",SF,@,MIN,L,8,26,30.8,102,3.9,0,0,1,3.8,,,,28,102,0
"Sun
11/1",SF,@,BAL,L,16,28,57.1,159,5.7,1,3.6,1,3.6,,,,70.4,193,1
"Sun
10/25",SF,vs,MIN,L,12,27,44.4,209,7.7,1,3.7,4,14.8,,,,44.1,211,2
"Sun
10/18",SF,@,LA,L,12,24,50,198,8.3,1,4.2,3,12.5,,,,52.4,192,1
"Sun
10/11",SF,@,GB,L,16,31,51.6,192,6.2,0,0,0,0,,,,70.9,231,1
"Sun
10/4",SF,vs,CHI,W,15,33,45.5,252,7.6,3,9.1,0,0,,,,102.1,256,3
"Sun
9/27",SF,vs,STL,L,14,30,46.7,168,5.6,1,3.3,1,3.3,,,,61.5,168,1
